Codigo,Titulo,Autor,Categoria,CopiasDisponibles,VecesPrestado
L002,Clean Code,Robert C. Martin,Tecnología,1,1
L003,Cien años de soledad,Gabriel García Márquez,Literatura,1,4
L004,Introducción a los algoritmos,Cornem et all.,Tecnología,3,0
L005,1984,George Orwell,Literatura,0,2
L006,El universo en una cáscara de nuez,Stephen Hawking,Ciencia,2,1
L007,Don Quijote de la Mancha,Miguel de Cervantes,Literatura,2,2
L008,Cosmos,Carl Sagan,Ciencia,1,1
L009,Design Patterns,Gamma et all,Tecnología,1,0
L010,Breve historias del tiempo,Stephen Hawking,Ciencia,1,8
L011,Dune,Frank Herbert,Ciencia ficción,8,13
L012,Hobbit,J.R.R. Tolkien,Fantasía,4,27
L013,Fundamentos de bases de datos,Elmasri y Navathe,Tecnología,3,11
L014,La guerra de los mundos,H.G.Wells,Ciencia Ficción,2,16
L015,Sapiens,Yuval Noah Harari,Historia,3,28
L016,Los Juegos del hambre,Alejandro Coxaj,Ciencia ficción,18,2
